Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
0,11628,0_farm_farmers_agriculture_program,,,,
1,9383,1_energy_oil_gas_prices,,,,
2,8709,2_reclamation_irrigation_project_projects,,,,
3,4491,3_air_pollution_clean air_clean,,,,
4,6775,4_environmental_epa_environment_mr,,,,
5,3583,5_transportation_highway_transit_rail,,,,
6,6617,6_man_great_served_life,,,,
7,5644,7_river_project_water_flood,,,,
8,3009,8_nuclear_waste_nuclear waste_energy,,,,
9,4351,9_water_pollution_water pollution_treatment,,,,
10,3380,10_forest_timber_forests_forest service,,,,
11,3929,11_unanimous consent_unanimous_ask unanimous_ask unanimous consent,,,,
12,2428,12_climate_climate change_change_global,,,,
13,4948,13_park_national_national park_parks,,,,
14,2049,14_youth_corps_young_conservation corps,,,,
15,12559,15_people_government_country_time,,,,
16,2413,16_defense_military_base_force,,,,
17,3195,17_budget_spending_billion_cuts,,,,
18,2178,18_fishing_fisheries_fishery_fishermen,,,,
19,1783,19_alaska_lands_land_native,,,,
20,3319,20_wilderness_areas_area_forest,,,,
21,2590,21_world_united_war_foreign,,,,
22,1549,22_mining_coal_surface_surface mining,,,,
23,1270,23_pesticides_pesticide_fda_food,,,,
24,1972,24_species_endangered_endangered species_species act,,,,
25,1285,25_oil_spill_liability_spills,,,,
26,1464,26_oil_arctic_drilling_anwr,,,,
27,1396,27_indian_indians_tribes_reservation,,,,
28,2050,28_colorado_water_river_project,,,,
29,1381,29_lakes_great lakes_lake_great,,,,
30,1238,30_oil_ocs_offshore_drilling,,,,
31,861,31_noise_airport_aircraft_faa,,,,
32,1079,32_superfund_sites_cleanup_hazardous,,,,
33,848,33_space_nasa_space station_station,,,,
34,890,34_forest_fires_forests_wildfire,,,,
35,1596,35_coal_energy_gas_industry,,,,
36,1309,36_housing_urban_cities_city,,,,
37,685,37_sst_concorde_supersonic_aircraft,,,,
38,1220,38_mining_minerals_mineral_mines,,,,
39,848,39_pension_granting_pensions_increase pension,,,,
40,824,40_nafta_mexico_trade_agreement,,,,
41,1909,41_power_electric_transmission_project,,,,
42,912,42_waste_solid waste_solid_recycling,,,,
43,786,43_coast guard_guard_coast_vessels,,,,
44,1573,44_water_california_san_valley,,,,
45,1161,45_marine_ocean_noaa_oceans,,,,
46,1552,46_trade_agreement_agreements_trade agreements,,,,
47,1180,47_school_education_schools_children,,,,
48,819,48_canal_florida_everglades_panama,,,,
49,724,49_ethanol_fuels_gasoline_mtbe,,,,
50,1047,50_section_shall_house amendment_rule,,,,
51,964,51_court_judge_supreme_supreme court,,,,
52,1370,52_refuge_wildlife_wildlife refuge_national wildlife,,,,
53,1069,53_river_scenic_rivers_wild,,,,
54,1182,54_research_science_technology_scientific,,,,
55,2047,55_wildlife_fish_fish wildlife_hunting,,,,
56,1217,56_health_care_medical_cancer,,,,
57,674,57_wetlands_wetland_404_section 404,,,,
58,1455,58_regulatory_regulations_agencies_agency,,,,
59,868,59_vehicles_fuel_cars_fuel economy,,,,
60,821,60_session senate_authorized meet_meet session_meet session senate,,,,
61,515,61_acid_acid rain_rain_sulfur,,,,
62,642,62_grazing_lands_land_ranchers,,,,
63,780,63_salmon_fish_hatchery_fisheries,,,,
64,559,64_pipeline_keystone_xl_keystone xl,,,,
65,834,65_secretary_interior_nomination_secretary interior,,,,
66,928,66_gas_natural gas_natural_price,,,,
67,915,67_unemployment_employment_jobs_unemployed,,,,
68,638,68_pipeline_oil_alaskan_canadian,,,,
69,513,69_dumping_ocean_ocean dumping_sludge,,,,
70,2472,70_000_budget_million_000 000,,,,
71,513,71_china_chinese_trade_chinas,,,,
72,710,72_disaster_flood_insurance_hurricane,,,,
73,914,73_women_woman_mrs_ms,,,,
74,645,74_coastal_coastal zone_zone_zone management,,,,
75,612,75_nuclear_weapons_treaty_soviet,,,,
